"site","S","ELE","MAT","TSE","MAP","PSE","NPP","SOC","AET","PET","EHM","TRI","WDF"
"Churdhar",106,3400,3.91666658719381,552.133321126302,2541.80004882812,90.9333318074544,899.199991861979,1005.3829787234,724.666666666667,1271,2858.66666666667,39.3541666666667,546.333333333333
"All",79,400,23.9029415355009,649.858818502987,1202.98235006893,109.92352923225,1610.39412195542,326.279883381924,890.529411764706,1794.82352941176,2614.29411764706,5.66911764705882,904.294117647059
"All",120,500,23.5083333174388,634.865833536784,1338.95416870117,111.854166793823,1725.31834106445,387.735413839891,941.172131147541,1773.03278688525,2847.36885245902,9.78022540983607,831.860655737705
"All",166,600,22.9673911661342,625.397100918535,1412.39420396003,111.565217391304,1783.85216754416,425.1875,964.044117647059,1758.30882352941,2939.35294117647,14.8336397058824,794.264705882353
"All",251,700,22.3074073085078,617.259259259259,1466.18703884549,111.698148515489,1825.01852077908,446.863565891473,978.388888888889,1738.85185185185,3009.72222222222,19.5034722222222,760.462962962963
"All",327,800,21.7038461245023,610.605129144131,1521.90256598057,111.676923311674,1866.39230894431,470.332665330661,985.1,1718.65,2640.9,23.696875,733.55
"All",384,900,21.0810345616834,602.21724937702,1596.30690581223,111.617241695009,1919.53448696794,479.380577427822,987.586206896552,1692.24137931034,2681.06896551724,24.4612068965517,704.655172413793
"All",420,1000,20.3987180269681,596.600008451022,1625.1512889373,110.769230182354,1938.91539275341,495.966386554622,977.307692307692,1677.10256410256,3029.84615384615,26.213141025641,699.794871794872
"All",460,1100,19.7449999809265,587.994998168945,1675.26500549316,108.612500572205,1971.94250183105,513.878850102669,970.179487179487,1659.79487179487,2865.12820512821,25.0240384615385,689.615384615385
"All",513,1200,18.9350001335144,577.890005493164,1735.3200012207,102.445000839233,2010.20999755859,527.801369863014,958.863636363636,1632.22727272727,2877.86363636364,30.1193181818182,673.363636363636
"All",563,1300,18.2078947769968,577.705270867599,1723.41053531044,99.7473678588867,2001.28420538651,525.076576576577,945.277777777778,1609.77777777778,2620.5,28.3229166666667,664.5
"All",588,1400,17.4124997854233,574.943752288818,1774.33749389648,96.4625000953674,2010.44374847412,529.504545454545,931.4375,1589.6875,2789.5,32.33984375,658.25
"All",575,1500,16.7653846740723,577.530771108774,1755.03846153846,96.3769226074219,1982.54615196815,544.146226415094,912.461538461538,1578.30769230769,3076.23076923077,32.1730769230769,665.846153846154
"All",558,1600,15.9605262154027,578.915790758635,1784.06843004729,96.0052630775853,1926.08949681332,555.412371134021,890.3,1563.7,3214,34.909375,673.4
